Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties,id
2021,AL,Alabama,Lawrence,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.3,,,33.3,49.6,33090,1079,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3218651 34.529776),1585,1
2021,AR,Arkansas,Jefferson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,13.6,,,11.7,15.4,65861,5069,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-91.929673 34.277239),1028,5
2021,AL,Alabama,Cherokee,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,2.9,3.8,24996,1019,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-85.6542417 34.0695153),1493,1
2021,AZ,Arizona,Cochise,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,30.6,,,27.3,34.4,126050,4003,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-109.7751627 31.8401287),5,4
2021,CA,California,Inyo,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.5,6.8,18970,6027,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-117.4042092 36.5621604),1191,6
2021,AK,Alaska,Denali,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.6,6.9,1593,2068,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-150.0270164 63.6820386),1671,2
2021,CA,California,Colusa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.4,,,25.5,41.7,21917,6011,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.2375629 39.1777385),72,6
2021,AL,Alabama,Bibb,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.6,,,3.2,4,22477,1007,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-87.1271475 33.0158929),92,1
2021,AR,Arkansas,Nevada,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.7,,,3.3,4.1,8187,5099,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-93.3050716 33.6666991),1039,5
2021,AL,Alabama,Dallas,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,32.2,,,27.8,36.9,37619,1047,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-87.11436 32.3335263),1542,1
